ID,ARTIST_NAME,ALBUMS,YEAR,TRACK_TITLE,TRACK_POSITION,EXCLUDE_ALBUM,EXCLUDE_SONG
17098,Nick Cave & The Bad Seeds,From Her To Eternity,1984,Avalanche,A1,False,False
17098,Nick Cave & The Bad Seeds,From Her To Eternity,1984,Cabin Fever!,A2,False,False
17098,Nick Cave & The Bad Seeds,From Her To Eternity,1984,Well Of Misery,A3,False,False
17098,Nick Cave & The Bad Seeds,From Her To Eternity,1984,From Her To Eternity,A4,False,False
17098,Nick Cave & The Bad Seeds,From Her To Eternity,1984,Saint Huck,B1,False,False
17098,Nick Cave & The Bad Seeds,From Her To Eternity,1984,Wings Off Flies,B2,False,False
17098,Nick Cave & The Bad Seeds,From Her To Eternity,1984,A Box For Black Paul,B3,False,False
17126,Nick Cave & The Bad Seeds,The Firstborn Is Dead,1985,Tupelo,A1,False,False
17126,Nick Cave & The Bad Seeds,The Firstborn Is Dead,1985,Say Goodbye To The Little Girl Tree,A2,False,False
17126,Nick Cave & The Bad Seeds,The Firstborn Is Dead,1985,Train Long-Suffering,A3,False,False
17126,Nick Cave & The Bad Seeds,The Firstborn Is Dead,1985,Black Crow King,A4,False,False
17126,Nick Cave & The Bad Seeds,The Firstborn Is Dead,1985,Knockin' On Joe,B1,False,False
17126,Nick Cave & The Bad Seeds,The Firstborn Is Dead,1985,Wanted Man,B2,False,False
17126,Nick Cave & The Bad Seeds,The Firstborn Is Dead,1985,Blind Lemon Jefferson,B3,False,False
17242,Nick Cave & The Bad Seeds,Your Funeral ... My Trial,1986,Sad Waters,A1,False,False
17242,Nick Cave & The Bad Seeds,Your Funeral ... My Trial,1986,The Carny,A2,False,False
17242,Nick Cave & The Bad Seeds,Your Funeral ... My Trial,1986,"Your Funeral, My Trial",B1,False,False
17242,Nick Cave & The Bad Seeds,Your Funeral ... My Trial,1986,Stranger Than Kindness,B2,False,False
17242,Nick Cave & The Bad Seeds,Your Funeral ... My Trial,1986,Jack's Shadow,C1,False,False
17242,Nick Cave & The Bad Seeds,Your Funeral ... My Trial,1986,Hard On For Love,C2,False,False
17242,Nick Cave & The Bad Seeds,Your Funeral ... My Trial,1986,She Fell Away,D1,False,False
17242,Nick Cave & The Bad Seeds,Your Funeral ... My Trial,1986,Long Time Man,D2,False,False
17164,Nick Cave & The Bad Seeds,Kicking Against The Pricks,1986,Muddy Water,A1,False,False
17164,Nick Cave & The Bad Seeds,Kicking Against The Pricks,1986,I'm Gonna Kill That Woman,A2,False,False
17164,Nick Cave & The Bad Seeds,Kicking Against The Pricks,1986,Sleeping Annaleah,A3,False,False
17164,Nick Cave & The Bad Seeds,Kicking Against The Pricks,1986,Long Black Veil,A4,False,False
17164,Nick Cave & The Bad Seeds,Kicking Against The Pricks,1986,Hey Joe,A5,False,False
17164,Nick Cave & The Bad Seeds,Kicking Against The Pricks,1986,The Singer,A6,False,False
17164,Nick Cave & The Bad Seeds,Kicking Against The Pricks,1986,All Tomorrow's Parties,B1,False,False
17164,Nick Cave & The Bad Seeds,Kicking Against The Pricks,1986,By The Time I Get To Phoenix,B2,False,False
17164,Nick Cave & The Bad Seeds,Kicking Against The Pricks,1986,The Hammer Song,B3,False,False
17164,Nick Cave & The Bad Seeds,Kicking Against The Pricks,1986,Something's Gotten Hold Of My Heart,B4,False,False
17164,Nick Cave & The Bad Seeds,Kicking Against The Pricks,1986,Jesus Met The Woman At The Well,B5,False,False
17164,Nick Cave & The Bad Seeds,Kicking Against The Pricks,1986,The Carnival Is Over,B6,False,False
17277,Nick Cave & The Bad Seeds,Tender Prey,1988,The Mercy Seat,A1,False,False
17277,Nick Cave & The Bad Seeds,Tender Prey,1988,Up Jumped The Devil,A2,False,False
17277,Nick Cave & The Bad Seeds,Tender Prey,1988,Deanna,A3,False,False
17277,Nick Cave & The Bad Seeds,Tender Prey,1988,Watching Alice,A4,False,False
17277,Nick Cave & The Bad Seeds,Tender Prey,1988,Mercy,A5,False,False
17277,Nick Cave & The Bad Seeds,Tender Prey,1988,City Of Refuge,B1,False,False
17277,Nick Cave & The Bad Seeds,Tender Prey,1988,Slowly Goes The Night,B2,False,False
17277,Nick Cave & The Bad Seeds,Tender Prey,1988,Sunday's Slave,B3,False,False
17277,Nick Cave & The Bad Seeds,Tender Prey,1988,Sugar Sugar Sugar,B4,False,False
17277,Nick Cave & The Bad Seeds,Tender Prey,1988,New Morning,B5,False,False
17303,Nick Cave & The Bad Seeds,The Good Son,1990,Foi Na Cruz,A1,False,False
17303,Nick Cave & The Bad Seeds,The Good Son,1990,The Good Son,A2,False,False
17303,Nick Cave & The Bad Seeds,The Good Son,1990,Sorrow's Child,A3,False,False
17303,Nick Cave & The Bad Seeds,The Good Son,1990,The Weeping Song,A4,False,False
17303,Nick Cave & The Bad Seeds,The Good Son,1990,The Ship Song,B1,False,False
17303,Nick Cave & The Bad Seeds,The Good Son,1990,The Hammer Song,B2,False,True
17303,Nick Cave & The Bad Seeds,The Good Son,1990,Lament,B3,False,False
17303,Nick Cave & The Bad Seeds,The Good Son,1990,The Witness Song,B4,False,False
17303,Nick Cave & The Bad Seeds,The Good Son,1990,Lucy,B5,False,False
17322,Nick Cave & The Bad Seeds,Henry's Dream,1992,"Papa Won't Leave You, Henry",1,False,False
17322,Nick Cave & The Bad Seeds,Henry's Dream,1992,"I Had A Dream, Joe",2,False,False
17322,Nick Cave & The Bad Seeds,Henry's Dream,1992,Straight To You,3,False,False
17322,Nick Cave & The Bad Seeds,Henry's Dream,1992,"Brother, My Cup Is Empty",4,False,False
17322,Nick Cave & The Bad Seeds,Henry's Dream,1992,Christina The Astonishing,5,False,False
17322,Nick Cave & The Bad Seeds,Henry's Dream,1992,When I First Came To Town,6,False,False
17322,Nick Cave & The Bad Seeds,Henry's Dream,1992,John Finns' Wife,7,False,False
17322,Nick Cave & The Bad Seeds,Henry's Dream,1992,Loom Of The Land,8,False,False
17322,Nick Cave & The Bad Seeds,Henry's Dream,1992,Jack The Ripper,9,False,False
17462,Nick Cave & The Bad Seeds,Live Seeds,1993,The Mercy Seat,1,True,True
17462,Nick Cave & The Bad Seeds,Live Seeds,1993,Deanna,2,True,True
17462,Nick Cave & The Bad Seeds,Live Seeds,1993,The Ship Song,3,True,True
17462,Nick Cave & The Bad Seeds,Live Seeds,1993,Papa Won't Leave You Henry,4,True,False
17462,Nick Cave & The Bad Seeds,Live Seeds,1993,Plain Gold Ring,5,True,False
17462,Nick Cave & The Bad Seeds,Live Seeds,1993,John Finn's Wife,6,True,False
17462,Nick Cave & The Bad Seeds,Live Seeds,1993,Tupelo,7,True,True
17462,Nick Cave & The Bad Seeds,Live Seeds,1993,Brother My Cup Is Empty,8,True,False
17462,Nick Cave & The Bad Seeds,Live Seeds,1993,The Weeping Song,9,True,True
17462,Nick Cave & The Bad Seeds,Live Seeds,1993,Jack The Ripper,10,True,True
17462,Nick Cave & The Bad Seeds,Live Seeds,1993,The Good Son,11,True,True
17462,Nick Cave & The Bad Seeds,Live Seeds,1993,From Her To Eternity,12,True,True
17462,Nick Cave & The Bad Seeds,Live Seeds,1993,New Morning,13,True,True
17506,Nick Cave & The Bad Seeds,Let Love In,1994,Do You Love Me ?,1,False,False
17506,Nick Cave & The Bad Seeds,Let Love In,1994,Nobody's Baby Now,2,False,False
17506,Nick Cave & The Bad Seeds,Let Love In,1994,Loverman,3,False,False
17506,Nick Cave & The Bad Seeds,Let Love In,1994,Jangling Jack,4,False,False
17506,Nick Cave & The Bad Seeds,Let Love In,1994,Red Right Hand,5,False,False
17506,Nick Cave & The Bad Seeds,Let Love In,1994,I Let Love In,6,False,False
17506,Nick Cave & The Bad Seeds,Let Love In,1994,Thirsty Dog,7,False,False
17506,Nick Cave & The Bad Seeds,Let Love In,1994,Ain't Gonna Rain Anymore,8,False,False
17506,Nick Cave & The Bad Seeds,Let Love In,1994,Lay Me Low,9,False,False
17506,Nick Cave & The Bad Seeds,Let Love In,1994,Do You Love Me ? (Part 2),10,False,True
18354,Nick Cave & The Bad Seeds,Murder Ballads,1996,Song Of Joy,1,False,False
18354,Nick Cave & The Bad Seeds,Murder Ballads,1996,Stagger Lee,2,False,False
18354,Nick Cave & The Bad Seeds,Murder Ballads,1996,Henry Lee,3,False,False
18354,Nick Cave & The Bad Seeds,Murder Ballads,1996,Lovely Creature,4,False,False
18354,Nick Cave & The Bad Seeds,Murder Ballads,1996,Where The Wild Roses Grow,5,False,False
18354,Nick Cave & The Bad Seeds,Murder Ballads,1996,The Curse Of Millhaven,6,False,False
18354,Nick Cave & The Bad Seeds,Murder Ballads,1996,The Kindness Of Strangers,7,False,False
18354,Nick Cave & The Bad Seeds,Murder Ballads,1996,Crow Jane,8,False,False
18354,Nick Cave & The Bad Seeds,Murder Ballads,1996,O'Malley's Bar,9,False,False
18354,Nick Cave & The Bad Seeds,Murder Ballads,1996,Death Is Not The End,10,False,False
