year,album,track_position,track_title,exclude_flag
1984,From Her To Eternity,1,Avalanche,
1984,From Her To Eternity,2,Cabin Fever!,
1984,From Her To Eternity,3,Well Of Misery,
1984,From Her To Eternity,4,From Her To Eternity,
1984,From Her To Eternity,5,Saint Huck,
1984,From Her To Eternity,6,Wings Off Flies,
1984,From Her To Eternity,7,A Box For Black Paul,
1985,The Firstborn Is Dead,1,Tupelo,
1985,The Firstborn Is Dead,2,Say Goodbye To The Little Girl Tree,
1985,The Firstborn Is Dead,3,Train Long-Suffering,
1985,The Firstborn Is Dead,4,Black Crow King,
1985,The Firstborn Is Dead,5,Knockin' On Joe,
1985,The Firstborn Is Dead,6,Wanted Man,
1985,The Firstborn Is Dead,7,Blind Lemon Jefferson,
1986,Your Funeral ... My Trial,1,Sad Waters,y
1986,Your Funeral ... My Trial,2,The Carny,y
1986,Your Funeral ... My Trial,3,"Your Funeral, My Trial",y
1986,Your Funeral ... My Trial,4,Stranger Than Kindness,y
1986,Your Funeral ... My Trial,5,Jack's Shadow,y
1986,Your Funeral ... My Trial,6,Hard On For Love,y
1986,Your Funeral ... My Trial,7,She Fell Away,y
1986,Your Funeral ... My Trial,8,Long Time Man,y
1986,Kicking Against The Pricks,1,Muddy Water,
1986,Kicking Against The Pricks,2,I'm Gonna Kill That Woman,
1986,Kicking Against The Pricks,3,Sleeping Annaleah,
1986,Kicking Against The Pricks,4,Long Black Veil,
1986,Kicking Against The Pricks,5,Hey Joe,
1986,Kicking Against The Pricks,6,The Singer,
1986,Kicking Against The Pricks,7,All Tomorrow's Parties,
1986,Kicking Against The Pricks,8,By The Time I Get To Phoenix,
1986,Kicking Against The Pricks,9,The Hammer Song,
1986,Kicking Against The Pricks,10,Something's Gotten Hold Of My Heart,
1986,Kicking Against The Pricks,11,Jesus Met The Woman At The Well,
1986,Kicking Against The Pricks,12,The Carnival Is Over,
1988,Tender Prey,1,The Mercy Seat,y
1988,Tender Prey,2,Up Jumped The Devil,y
1988,Tender Prey,3,Deanna,y
1988,Tender Prey,4,Watching Alice,y
1988,Tender Prey,5,Mercy,y
1988,Tender Prey,6,City Of Refuge,y
1988,Tender Prey,7,Slowly Goes The Night,y
1988,Tender Prey,8,Sunday's Slave,y
1988,Tender Prey,9,Sugar Sugar Sugar,y
1988,Tender Prey,10,New Morning,y
1990,The Good Son,1,Foi Na Cruz,
1990,The Good Son,2,The Good Son,
1990,The Good Son,3,Sorrow's Child,
1990,The Good Son,4,The Weeping Song,
1990,The Good Son,5,The Ship Song,
1990,The Good Son,6,The Hammer Song,
1990,The Good Son,7,Lament,
1990,The Good Son,8,The Witness Song,
1990,The Good Son,9,Lucy,
1992,Henry's Dream,1,"Papa Won't Leave You, Henry",
1992,Henry's Dream,2,"I Had A Dream, Joe",
